epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.304,1.23241,3.87193,1.54736,0.44538,0.1903,0.15374,0.11087,1.23799,2.85048,1.62121,0.00333072,0.00333072,0.00333072
2,361.225,1.23052,2.92005,1.53388,0.36244,0.20684,0.1397,0.09796,1.35272,2.9931,1.75096,0.0065321,0.0065321,0.0065321
3,541.674,1.3192,2.97577,1.60182,0.35671,0.15289,0.08571,0.05507,1.50926,3.353,1.91349,0.00960149,0.00960149,0.00960149
4,712.845,1.35242,3.0395,1.63758,0.39321,0.20219,0.14758,0.10312,1.3788,2.90386,1.78499,0.009406,0.009406,0.009406
5,884.759,1.30513,2.82267,1.59294,0.36979,0.25024,0.18167,0.12941,1.27212,2.68106,1.69574,0.009208,0.009208,0.009208
6,1056.51,1.26472,2.68373,1.56248,0.39729,0.26072,0.22059,0.15761,1.25798,2.44435,1.64447,0.00901,0.00901,0.00901
7,1227.82,1.24608,2.57953,1.54635,0.41928,0.28197,0.24779,0.17931,1.21688,2.33675,1.62911,0.008812,0.008812,0.008812
8,1399.5,1.22284,2.48685,1.52776,0.43571,0.30714,0.2816,0.2052,1.18653,2.17804,1.57847,0.008614,0.008614,0.008614
9,1571.12,1.19809,2.39987,1.5085,0.42686,0.32208,0.28765,0.21274,1.17111,2.15088,1.58446,0.008416,0.008416,0.008416
10,1742.79,1.19202,2.33389,1.50315,0.45109,0.32645,0.31808,0.2342,1.16304,2.05821,1.55768,0.008218,0.008218,0.008218
11,1914.39,1.17201,2.27201,1.48837,0.4644,0.34513,0.32984,0.24446,1.13691,2.00394,1.55045,0.00802,0.00802,0.00802
12,2087.65,1.16009,2.21143,1.47612,0.49007,0.36699,0.35516,0.26377,1.12733,1.95106,1.53855,0.007822,0.007822,0.007822
13,2265.95,1.14809,2.16773,1.46834,0.4706,0.37554,0.3652,0.27036,1.12062,1.88481,1.52239,0.007624,0.007624,0.007624
14,2440.89,1.14542,2.134,1.4618,0.48343,0.37561,0.36257,0.27139,1.09288,1.88966,1.50458,0.007426,0.007426,0.007426
15,2616.63,1.13699,2.08993,1.45304,0.49051,0.40146,0.39295,0.2947,1.09338,1.79857,1.50022,0.007228,0.007228,0.007228
16,2792.93,1.1261,2.04267,1.44434,0.47472,0.39892,0.39453,0.29728,1.07854,1.78236,1.48837,0.00703,0.00703,0.00703
17,2980.67,1.1195,2.0207,1.44405,0.52948,0.40637,0.41079,0.30941,1.07797,1.73752,1.48787,0.006832,0.006832,0.006832
18,3163.57,1.11197,1.97716,1.43622,0.51976,0.42144,0.42678,0.31989,1.07831,1.70995,1.48424,0.006634,0.006634,0.006634
19,3345.64,1.10758,1.93011,1.43293,0.51758,0.43343,0.43698,0.32983,1.05837,1.66364,1.46844,0.006436,0.006436,0.006436
20,3527.55,1.09574,1.88559,1.42181,0.54388,0.42498,0.44667,0.33799,1.05505,1.64897,1.46752,0.006238,0.006238,0.006238
21,3700.24,1.08817,1.86025,1.41558,0.52714,0.45067,0.45736,0.34542,1.05658,1.61656,1.46446,0.00604,0.00604,0.00604
22,3881.14,1.08792,1.82979,1.41759,0.55473,0.4537,0.47034,0.3552,1.04972,1.58324,1.45887,0.005842,0.005842,0.005842
23,4093.08,1.07577,1.7949,1.40746,0.568,0.45123,0.47835,0.36232,1.04403,1.55629,1.45755,0.005644,0.005644,0.005644
24,4304.89,1.06979,1.7746,1.40281,0.53814,0.47628,0.49199,0.37149,1.03171,1.54463,1.44547,0.005446,0.005446,0.005446
25,4517.11,1.06873,1.74998,1.39833,0.57798,0.4699,0.50219,0.38059,1.02505,1.52534,1.44301,0.005248,0.005248,0.005248
26,4727.54,1.05547,1.70713,1.39152,0.56826,0.47972,0.50591,0.384,1.02141,1.49802,1.43778,0.00505,0.00505,0.00505
27,4938.45,1.05317,1.68701,1.38919,0.57515,0.48722,0.51552,0.3903,1.01968,1.48667,1.43677,0.004852,0.004852,0.004852
28,5149.28,1.04403,1.64915,1.37934,0.59138,0.4947,0.52729,0.40098,1.01229,1.46506,1.43063,0.004654,0.004654,0.004654
29,5360.03,1.04328,1.63369,1.38198,0.6191,0.49336,0.53565,0.40698,1.01076,1.44563,1.42837,0.004456,0.004456,0.004456
30,5569.94,1.03887,1.60116,1.37571,0.60976,0.49683,0.54019,0.4109,1.00646,1.43165,1.42434,0.004258,0.004258,0.004258
31,5780.6,1.02628,1.57239,1.37151,0.60868,0.50814,0.54375,0.41302,1.00697,1.42422,1.42491,0.00406,0.00406,0.00406
32,5990.74,1.02339,1.5407,1.36613,0.64899,0.49828,0.55081,0.42004,0.99894,1.40709,1.42098,0.003862,0.003862,0.003862
33,6201.44,1.01133,1.50992,1.35746,0.63858,0.50916,0.55543,0.42397,0.99585,1.39783,1.41931,0.003664,0.003664,0.003664
34,6411.93,1.01231,1.49893,1.35794,0.6294,0.5202,0.56231,0.42914,0.99429,1.38215,1.41857,0.003466,0.003466,0.003466
35,6622.11,1.00383,1.45669,1.34805,0.64167,0.52411,0.56897,0.43366,0.98846,1.36655,1.4133,0.003268,0.003268,0.003268
36,6832.4,1.00381,1.44946,1.35222,0.64026,0.52998,0.57432,0.43783,0.98737,1.35859,1.41084,0.00307,0.00307,0.00307
37,7042.58,0.9899,1.408,1.33894,0.65218,0.53307,0.57843,0.44171,0.98758,1.35286,1.40874,0.002872,0.002872,0.002872
38,7253.2,0.98607,1.37915,1.33472,0.65358,0.53361,0.58238,0.44575,0.98226,1.34371,1.40518,0.002674,0.002674,0.002674
39,7463.41,0.97927,1.35799,1.33177,0.67555,0.5292,0.58963,0.4506,0.98002,1.33711,1.40446,0.002476,0.002476,0.002476
40,7673.93,0.97661,1.33724,1.32844,0.65735,0.54567,0.59451,0.45449,0.97722,1.33108,1.40267,0.002278,0.002278,0.002278
