epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,464.125,0.99243,8.73406,1.77978,0.47878,0.13535,0.08808,0.05914,1.06682,6.65108,1.86622,0.00333186,0.00333186,0.00333186
2,907.652,1.05829,7.00703,1.8546,0.51986,0.0976,0.06176,0.03988,1.18571,6.99545,1.99848,0.00659921,0.00659921,0.00659921
3,1347.29,1.17036,7.29348,2.01035,0.54796,0.03669,0.03279,0.02129,1.3412,7.60329,2.21611,0.00980056,0.00980056,0.00980056
4,1785.31,1.21275,7.5008,2.07314,0.51098,0.0723,0.06153,0.04154,1.18157,6.70546,2.02379,0.009703,0.009703,0.009703
5,2224.02,1.13242,7.04103,1.97244,0.45551,0.10803,0.08364,0.0584,1.11624,6.32656,1.93834,0.009604,0.009604,0.009604
6,2662.33,1.07908,6.6858,1.90486,0.45593,0.14597,0.10127,0.07213,1.0831,6.0344,1.89999,0.009505,0.009505,0.009505
7,3100.26,1.04781,6.42366,1.86361,0.42652,0.17565,0.12311,0.08897,1.05667,5.79841,1.86475,0.009406,0.009406,0.009406
8,3538,1.01854,6.19616,1.82478,0.44507,0.18147,0.13152,0.09652,1.01632,5.60652,1.81586,0.009307,0.009307,0.009307
9,3975.65,1.00223,6.03171,1.80625,0.43927,0.19974,0.14723,0.10832,1.00836,5.44917,1.80108,0.009208,0.009208,0.009208
10,4413.6,0.98613,5.85534,1.78496,0.38836,0.2089,0.15916,0.11798,0.99794,5.36431,1.79377,0.009109,0.009109,0.009109
11,4851.8,0.96731,5.7216,1.76288,0.44535,0.21375,0.17224,0.12865,0.97836,5.20617,1.75221,0.00901,0.00901,0.00901
12,5293,0.95847,5.62072,1.74785,0.48287,0.21495,0.18358,0.13742,0.97345,5.14815,1.74947,0.008911,0.008911,0.008911
13,5733.63,0.94768,5.46714,1.72956,0.4809,0.22819,0.19615,0.14668,0.95941,5.01526,1.73117,0.008812,0.008812,0.008812
14,6174.64,0.93443,5.33641,1.71378,0.45417,0.244,0.20745,0.15617,0.95826,4.92987,1.72827,0.008713,0.008713,0.008713
15,6614.92,0.92797,5.25041,1.70516,0.47924,0.23993,0.21467,0.16218,0.94261,4.87744,1.70616,0.008614,0.008614,0.008614
16,7055.88,0.91767,5.17322,1.69215,0.44226,0.24671,0.22279,0.16943,0.93224,4.79735,1.69487,0.008515,0.008515,0.008515
17,7496.82,0.90993,5.08205,1.68953,0.45101,0.26027,0.23606,0.18065,0.92567,4.70257,1.68624,0.008416,0.008416,0.008416
18,7937.58,0.90741,4.98579,1.68033,0.46631,0.27074,0.24626,0.18775,0.92139,4.6448,1.67807,0.008317,0.008317,0.008317
19,8378.25,0.89385,4.87998,1.66178,0.45993,0.27217,0.25438,0.19408,0.91777,4.57925,1.67072,0.008218,0.008218,0.008218
20,8818.53,0.89622,4.8358,1.6632,0.42084,0.28915,0.25971,0.1982,0.91175,4.53786,1.66626,0.008119,0.008119,0.008119
21,9259.35,0.88886,4.7423,1.65542,0.46644,0.27308,0.2664,0.20306,0.91288,4.50638,1.6673,0.00802,0.00802,0.00802
22,9699.75,0.88008,4.64199,1.64312,0.4284,0.29432,0.27004,0.20655,0.90855,4.47656,1.66542,0.007921,0.007921,0.007921
23,10140.8,0.87415,4.57557,1.64127,0.43334,0.30339,0.28496,0.21953,0.8988,4.41748,1.655,0.007822,0.007822,0.007822
24,10581.7,0.87014,4.50223,1.62999,0.4046,0.31915,0.29311,0.22423,0.89883,4.34312,1.65178,0.007723,0.007723,0.007723
25,11022.2,0.86604,4.43147,1.62474,0.42373,0.30491,0.29941,0.23004,0.89161,4.28335,1.64161,0.007624,0.007624,0.007624
26,11462.2,0.8592,4.35803,1.62026,0.45381,0.31929,0.31057,0.23795,0.88772,4.23353,1.63675,0.007525,0.007525,0.007525
27,11902.8,0.85534,4.28788,1.61293,0.44965,0.31271,0.31232,0.23953,0.88464,4.18414,1.63493,0.007426,0.007426,0.007426
28,12343.4,0.85011,4.20669,1.60789,0.43003,0.3349,0.3251,0.24861,0.88306,4.15244,1.63231,0.007327,0.007327,0.007327
29,12783.7,0.84703,4.15576,1.6039,0.45007,0.33388,0.33099,0.25292,0.87868,4.10807,1.62672,0.007228,0.007228,0.007228
30,13224.4,0.84176,4.08799,1.59131,0.43254,0.34149,0.33798,0.26022,0.87796,4.06228,1.62383,0.007129,0.007129,0.007129
