epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,370.41,0.89098,1.86331,1.29705,0.66889,0.54556,0.59526,0.45912,0.97941,1.46325,1.44615,0.00333072,0.00333072,0.00333072
2,820.537,0.91464,1.31966,1.30682,0.62408,0.53015,0.56312,0.42786,1.02127,1.53865,1.49629,0.0065321,0.0065321,0.0065321
3,1185.82,0.9728,1.47423,1.3523,0.49295,0.4439,0.44511,0.33104,1.09663,1.82057,1.55245,0.00960149,0.00960149,0.00960149
4,1548.7,1.04636,1.71546,1.40213,0.51488,0.42768,0.43643,0.32737,1.10372,1.82833,1.53783,0.009406,0.009406,0.009406
5,1910.74,1.05261,1.71121,1.40744,0.49939,0.43442,0.43928,0.32309,1.11766,1.78131,1.5487,0.009208,0.009208,0.009208
6,2273.42,1.0512,1.69242,1.4088,0.51057,0.45819,0.46188,0.34609,1.09399,1.77073,1.53403,0.00901,0.00901,0.00901
7,2637.28,1.04997,1.66372,1.40656,0.54773,0.45348,0.47542,0.35324,1.08989,1.6968,1.53094,0.008812,0.008812,0.008812
8,3000.12,1.03994,1.62728,1.40009,0.56362,0.46924,0.491,0.36412,1.09882,1.69006,1.53473,0.008614,0.008614,0.008614
9,3344.15,1.03681,1.60654,1.39451,0.57782,0.4651,0.49415,0.36867,1.07836,1.64062,1.52626,0.008416,0.008416,0.008416
10,3667.02,1.02947,1.57382,1.3924,0.61892,0.46402,0.51043,0.38112,1.08265,1.62033,1.52663,0.008218,0.008218,0.008218
11,3989.91,1.02326,1.53,1.38834,0.54683,0.50419,0.51764,0.38888,1.06997,1.58683,1.52031,0.00802,0.00802,0.00802
12,4312.96,1.01268,1.50434,1.37888,0.58883,0.50722,0.534,0.40057,1.06166,1.55098,1.50828,0.007822,0.007822,0.007822
13,4635.44,1.00782,1.47513,1.37598,0.61122,0.50277,0.54028,0.40497,1.0529,1.52067,1.51309,0.007624,0.007624,0.007624
14,4957.94,1.00004,1.44668,1.37126,0.62679,0.50236,0.55143,0.41655,1.04405,1.5013,1.5001,0.007426,0.007426,0.007426
15,5280.83,0.99687,1.43336,1.3656,0.63256,0.52792,0.56508,0.42565,1.0395,1.46351,1.49223,0.007228,0.007228,0.007228
16,5603.71,0.98327,1.39203,1.35558,0.64163,0.52465,0.5706,0.43182,1.03848,1.44506,1.49473,0.00703,0.00703,0.00703
17,5927.07,0.97971,1.37769,1.35624,0.64755,0.5372,0.58176,0.43789,1.03208,1.4157,1.48726,0.006832,0.006832,0.006832
18,6250.26,0.97632,1.35181,1.35376,0.63185,0.55754,0.58814,0.44487,1.02315,1.41653,1.48221,0.006634,0.006634,0.006634
19,6573.43,0.9687,1.3312,1.34933,0.6755,0.54611,0.59729,0.44925,1.02502,1.3869,1.48486,0.006436,0.006436,0.006436
20,6896.57,0.95741,1.30119,1.33703,0.68991,0.55185,0.61102,0.46451,1.01145,1.3528,1.47028,0.006238,0.006238,0.006238
21,7218.98,0.95498,1.2752,1.3366,0.69532,0.55892,0.61661,0.46985,1.00414,1.34068,1.47121,0.00604,0.00604,0.00604
22,7541.64,0.94442,1.24392,1.32929,0.67199,0.57613,0.62065,0.47413,1.00015,1.33245,1.46689,0.005842,0.005842,0.005842
23,7864.13,0.94066,1.22426,1.32566,0.69883,0.57588,0.62976,0.48143,0.99032,1.32436,1.4597,0.005644,0.005644,0.005644
