epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,214.912,1.23904,3.8673,1.56998,0.38684,0.20156,0.15461,0.11103,1.2663,2.85599,1.676,0.00333072,0.00333072,0.00333072
2,405.284,1.23089,2.89935,1.53705,0.28104,0.20558,0.12968,0.08872,1.38279,3.00126,1.77628,0.00659808,0.00659808,0.00659808
3,588.163,1.32304,2.99573,1.61018,0.30574,0.15551,0.09596,0.06329,1.44805,3.20043,1.84265,0.00979944,0.00979944,0.00979944
4,774.135,1.35902,3.04381,1.63803,0.36906,0.20954,0.15058,0.10324,1.38744,2.85146,1.77583,0.009703,0.009703,0.009703
5,982.699,1.31052,2.84021,1.59942,0.35102,0.23549,0.17532,0.12019,1.33335,2.68965,1.73144,0.009604,0.009604,0.009604
6,1168.3,1.26958,2.69526,1.57161,0.37835,0.25869,0.20632,0.14689,1.28415,2.55436,1.69335,0.009505,0.009505,0.009505
7,1352.92,1.24839,2.58627,1.54924,0.39439,0.30335,0.24775,0.17786,1.24615,2.37717,1.64849,0.009406,0.009406,0.009406
8,1532.58,1.2266,2.48984,1.53058,0.41017,0.30947,0.26267,0.18991,1.22076,2.30506,1.61449,0.009307,0.009307,0.009307
9,1711.29,1.21286,2.42812,1.51703,0.40277,0.3083,0.2754,0.20263,1.19561,2.22355,1.60046,0.009208,0.009208,0.009208
10,1894.63,1.19721,2.36931,1.50565,0.44444,0.32892,0.29585,0.21763,1.19331,2.18182,1.60231,0.009109,0.009109,0.009109
11,2075.39,1.18347,2.29467,1.4951,0.42537,0.32567,0.30306,0.2249,1.18109,2.17373,1.59075,0.00901,0.00901,0.00901
12,2254.1,1.16994,2.24364,1.48531,0.48737,0.35358,0.34844,0.2598,1.16948,2.02066,1.56272,0.008911,0.008911,0.008911
13,2431.17,1.16099,2.20399,1.48007,0.48382,0.3583,0.34581,0.25739,1.14716,1.99642,1.55685,0.008812,0.008812,0.008812
14,2609.54,1.15448,2.15668,1.47104,0.48298,0.37536,0.36435,0.27051,1.14497,1.93345,1.54899,0.008713,0.008713,0.008713
15,2786,1.14487,2.12797,1.4634,0.47025,0.39985,0.37465,0.27807,1.13343,1.89482,1.5414,0.008614,0.008614,0.008614
16,2962.61,1.1339,2.08114,1.45509,0.48535,0.4038,0.39261,0.29262,1.1238,1.82126,1.52126,0.008515,0.008515,0.008515
17,3139,1.1325,2.04823,1.45365,0.5272,0.40709,0.40832,0.30479,1.1222,1.78432,1.51577,0.008416,0.008416,0.008416
18,3315.43,1.12679,2.01283,1.45036,0.53953,0.41378,0.41937,0.31586,1.11473,1.77936,1.50988,0.008317,0.008317,0.008317
19,3491.82,1.12199,1.99051,1.44498,0.50848,0.43028,0.42855,0.32233,1.09889,1.73832,1.50001,0.008218,0.008218,0.008218
20,3668.38,1.11035,1.95591,1.43499,0.55841,0.41626,0.43375,0.32507,1.09954,1.71275,1.49134,0.008119,0.008119,0.008119
21,3844.78,1.11079,1.94436,1.43732,0.53864,0.42339,0.44187,0.33389,1.08179,1.68435,1.48563,0.00802,0.00802,0.00802
22,4021.53,1.10375,1.89601,1.43052,0.54529,0.4464,0.46015,0.34789,1.08025,1.64921,1.48113,0.007921,0.007921,0.007921
23,4197.75,1.10196,1.88057,1.42779,0.55578,0.4493,0.47305,0.35807,1.07577,1.62791,1.47728,0.007822,0.007822,0.007822
24,4373.93,1.08395,1.83576,1.41362,0.57863,0.44954,0.47623,0.35832,1.07735,1.61546,1.47549,0.007723,0.007723,0.007723
25,4550.09,1.08567,1.82948,1.41647,0.58029,0.45918,0.48359,0.36691,1.06305,1.59269,1.46783,0.007624,0.007624,0.007624
26,4726.01,1.07948,1.79963,1.41114,0.57279,0.47078,0.49564,0.3766,1.06683,1.5638,1.46794,0.007525,0.007525,0.007525
27,4902.8,1.08726,1.78897,1.41391,0.58014,0.46957,0.50164,0.38046,1.06192,1.54512,1.46314,0.007426,0.007426,0.007426
28,5078.68,1.07447,1.77095,1.40776,0.59058,0.46597,0.50784,0.38504,1.05775,1.53181,1.45978,0.007327,0.007327,0.007327
29,5258.97,1.07455,1.74819,1.40709,0.58409,0.48643,0.52024,0.39408,1.0527,1.51133,1.45584,0.007228,0.007228,0.007228
30,5437.73,1.06228,1.72362,1.39621,0.60856,0.48001,0.52294,0.39701,1.04623,1.49389,1.44851,0.007129,0.007129,0.007129
31,5616.85,1.05947,1.70257,1.39549,0.6122,0.48574,0.52507,0.39953,1.04441,1.49136,1.44944,0.00703,0.00703,0.00703
32,5794.81,1.06364,1.68267,1.39106,0.62624,0.48648,0.532,0.40436,1.04461,1.47589,1.44681,0.006931,0.006931,0.006931
33,5972.71,1.05442,1.66052,1.38927,0.62002,0.50047,0.53962,0.41077,1.03833,1.46114,1.44482,0.006832,0.006832,0.006832
